"Company Name","Key ID","Address Line 1","City","Phone","URL","Revenue (As Reported)","Employees","techMark Membership","Year Founded","Ultimate Parent Company","Ultimate Parent Country","ANZSIC 2006 Description","Address Type","Cash Equivalents (As Reported)","Assets (USD)","Cash Equivalents (USD)","Corporate Family Members","Fiscal Year End","Parent Company","Ownership Type","Profit Margin","Revenue (USD)","Sales 1 Year Growth (As Reported)"
"National Marine Dredging PSC","42386017","Mussafah Industrial Area,","Abu Dhabi","971-2-5130000","http://www.nmdc.com","1629204000","1487","","1979","","","Other Heavy and Civil Engineering Construction","","177021000","1353663300","48194225.231","0","2014-12-31T05:00:00Z","","Public","5.4916","443556790","-36009998"
"First Gulf Bank PJSC","42385885","PO Box 6316","Abu Dhabi","971-2-6816666","http://www.fgb.ae","9261826200","1454","","1979","","","Banking","","","57763184000","","3","2014-12-31T05:00:00Z","","Public","68.56","2521566200","9928000.5"
"Abu Dhabi Company for Onshore Oil Operat","42385719","Abu Dhabi Co fr Onshr Oil Oprtns Bldg","Abu Dhabi","971-2-6040000","http://www.adco.ae","8684700200","1450","","1978","Abu Dhabi National Oil Company","United Arab Emirates","Oil and Gas Extraction","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","8684700200",""
"National Catering Company Llc","123058796","Shiekh Mohammed Bin Butti Al Hamed Building Khalidiyah","Abu Dhabi","26345151","","","1400","","","Albert Abela Company ( Abu Dhabi ) W L L","United Arab Emirates","Other Food Product Manufacturing Not Elsewhere Classified","","","","","2","","Albert Abela Company ( Abu Dhabi ) W L L","Partnership","","",""
"Al Habtoor Specon Hastie International Jv (Hsh)","123098476","Po Box Procurrement Manager","Abu Dhabi","566037922","","","1400","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Almansoori Specialized Engineering","42385969","PO Box 3374","Abu Dhabi","97128157000","http://www.almansoori.biz","756000000","1400","","1977","Al Nasser Holdings","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","18","2011-12-31T05:00:00Z","Al Nasser Holdings","Private","","756000000",""
"Tristar Transport & Contractng","122047946","Po Box 918","Mussafah","25553437","","120000000","1400","","","","","Road and Bridge Construction","","","","","0","2007-12-31T05:00:00Z","","Private","","32678612",""
"Emirates Technical Associates L.L.C.","122874207","Po Box 3532","Abu Dhabi","26937222","","","1399","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Abu Dhabi Commercial Bank PJSC","42385720","PO Box 939","Abu Dhabi","971-2-6962297","http://www.adcb.com","7855222200","1366","","1985","Abu Dhabi Investment Authority","United Arab Emirates","Banking","","","55544598000","","7","2014-12-31T05:00:00Z","Abu Dhabi Investment Authority","Public","57.9743","2138613000","3148900"
"Petroleum Services Company - Esnaad - P J S","122373484","Po Box 46121","Abu Dhabi","26029000","","","1355","","","Abu Dhabi National Oil Company","United Arab Emirates","Basic Inorganic Chemical Manufacturing","","","","","25","","ADNOC Distribution","Private","","",""
"Larsen & Toubro Limited - Ecc Construction Group - Abu Dhabi","123167912","Po Box 30803","Abu Dhabi","26729136","","","1300","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Nael Energy & General Enterprises Establishment - Abu Dhabi Branch","122143897","Po Box 2045","Abu Dhabi","26776757","","","1300","","","","","Electricity Supply","","","","","0","","","Private","","",""
"Readymix Beton Establishment","42386052","Po Box 3610","Abu Dhabi","26337580","http://www.readymixbeton.com","","1300","","","","","Cement and Lime Manufacturing","","","","","0","","","Private","","",""
"Al Fahim","42385881","Al Fahim Group Building","Abu Dhabi","971-2-6567000","http://www.alfahim.com/","","1300","","1958","","","Motor Vehicle Retailing","","","","","8","","","Private","","",""
"Abu Dhabi Islamic Bank PJSC","43871889","Abu Dhabi Islamic Bank Building","Abu Dhabi","971-2-6100000","http://www.adib.ae","4632240200","1228","","1997","","","Banking","","","30465973000","","5","2014-12-31T05:00:00Z","","Public","32.4816","1261144400","16721701"
"Parsons International Limited","92460815","Po Box 5498","Abu Dhabi","26142416","http://www.parsons.com","","1215","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Royal Garden Agricultural Contracting Company","123228862","Opposite Star Cement Factory","Abu Dhabi","25500822","","","1213","","","","","Gardening Services","","","","","0","","","Private","","",""
"Zakum Development Company","42386124","PO Box 46808","Abu Dhabi","+9712-6050000","http://zadco.ae/en/Pages/default.aspx","5776200200","1200","","1977","Abu Dhabi National Oil Company","United Arab Emirates","Oil and Gas Extraction","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","5776200200",""
"Bin Salem Group - L L C","133363592","Po Box 7969","Abu Dhabi","24122222","","","1200","","","","","Financial Asset Investing","","","","","0","","","Private","","",""
"Hyundai Engineering & Construction Company","120010398","Po Box 46101","Abu Dhabi","26432865","http://www.en.hdec.kr","","1200","","","Hyundai Engineering & Construction Co.","Korea, Republic of","Other Mining Support Services","","","","","10","","Hyundai Engineering & Construction Co.","Private","","",""
"Siemens LLC","46490318","PO Box 47015","Abu Dhabi","971-26165100","http://w1.siemens.com","769200010","1200","","","Siemens AG","Germany","Other Electrical and Electronic Goods Wholesaling","","","","","1704","2011-12-31T05:00:00Z","Siemens AG","Private","","769200010",""
"The Kanoo Group","42385951","Po Box 245","Abu Dhabi","971-2-677-4444","http://www.kanoogroup.com","","1200","","","","","Financial Asset Investing","","","","","10","","","Private","","",""
"Danway Abu Dhabi","42385849","Near Neopharma","Abu Dhabi","971-2-5994444","http://www.danwayllc.com","347500000","1200","","1976","Emirates Holdings Co.","United Arab Emirates","Other Machinery and Equipment Repair and Maintenance","","","","","8","2011-12-31T05:00:00Z","Emirates Holdings Co.","Private","","347500000",""
"Agencies & Trading Company","121842832","Po Box 27599","Abu Dhabi","26948384","","","1200","","","","","Other Grocery Wholesaling","","","","","0","","","Partnership","","",""
"Dhabia Trading Establishment","121843546","Po Box 4875/4192","Abu Dhabi","6904555","","","1200","","","International Trading Store - L L C","","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","","","","","3","","International Trading Store - L L C","Private","","",""
"Electrical Centre","122153217","Po Box 4037","Abu Dhabi","26722400","","","1200","","","","","Other Electrical and Electronic Goods Wholesaling","","","","","0","","","Private","","",""
"Southern Franchise Company (L.L.C)","121851586","Po Box 44145","Abu Dhabi","42868878","","","1200","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Dodsal Engineering And Construction Pte. Limited - Abu Dhabi","123167645","Po Box 701","Abu Dhabi","24093812","","","1193","","","","","Building Installation Services","","","","","0","","","Private","","",""
"Engineering Maintenance Co.mpany EMCO","42385873","PO Box 3532","Abu Dhabi","971-02 6340600","http://emcouae.com","734099980","1150","","1982","","","Other Construction Services Not Elsewhere Classified","","","","","0","2011-12-31T05:00:00Z","","Private","","734099980",""
"Abu Dhabi National Energy Company PJSC","50779454","Al Maryah Island","Abu Dhabi","971-2-6914900","http://www.taqaglobal.com","27325000000","1119","","2005","Abu Dhabi Water & Electricity Authority","","Electricity Supply","","361000000","31319264000","98282776.103","44","2014-12-31T05:00:00Z","Abu Dhabi Water & Electricity Authority","Public","-11.0155","7439332000","6087699.9"
"Galfar Engineering & Contracting -W L L- Uae","123282638","Po Box 72218","Abu Dhabi","25502515","","258000000","1100","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","70240982",""
"Ali and Sons Contracting Company L.L.C.","42387135","PO Box 2153","Abu Dhabi","971-02 5546611","http://asc.ali-sons.com","","1100","","","Ali and Sons Company L.L.C.","United Arab Emirates","House Construction","","","","","6","","Ali and Sons Company L.L.C.","Private","","",""
"A B J Industries P J S C","122044422","Po Box 26831","","25130522","","","1100","","","","","Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing","","","","","0","","","Private","","",""
"Aldar Properties PJSC","92498670","Al Raha Beach,  51133","Abu Dhabi","971-2-8105555","http://www.aldar.com","6551078100","1062","","2005","","","Real Estate Services","","2770297000","10495057000","754217395.537","6","2014-12-31T05:00:00Z","","Public","34.1186","1783555200","21772699"
"Xervon Industrial Services L.L.C.","123046236","Po Box 47616","Abu Dhabi","5587159","","","1060","","","ThyssenKrupp AG","Germany","Other Heavy and Civil Engineering Construction","","","","","959","","ThyssenKrupp AG","Private","","",""
"Saaed For Traffic Systems - L L C","121849462","Po Box 113966","Abu Dhabi","25563333","","","1027","","","","","Management and Related Consulting Services","","","","","0","","","State-Owned","","",""
"Abu Dhabi General Transport Co.","42708422","PO Box 493","Abu Dhabi","971-02 5555700","","2855800000","1000","","1965","","","Road and Bridge Construction","","","","","0","2011-12-31T05:00:00Z","","Private","","2855800000",""
"ESNAAD","42385722","","Abu Dhabi","971-26029000","http://www.esnaad.com","429500000","1000","","","Abu Dhabi National Oil Company","United Arab Emirates","Other Basic Chemical Product Manufacturing Not Elsewhere Classified","","","","","25","2011-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","429500000",""
"China Petroleum Engineering & Construction Corporation-Abu Dhabi","123262652","Po Box 127345","Abu Dhabi","26789991","","","1000","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Seidco General Contracting Company - L L C - Abu Dhabi","123158203","Po Box 44072","Abu Dhabi","26766635","http://www.seidco.net","","1000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"NMC Special Medical Services","124754328","","Abu Dhabi","971-26332255","","","1000","","","NMC Group","United Arab Emirates","Other Health Care Services Not Elsewhere Classified","","","","","22","","NMC Group","Private","","",""
"Combined Group Contracting Co (K.S.Cc) - Alain","122940152","Po Box 112364","Abu Dhabi","26121999","","","1000","","","","","Non-Residential Building Construction","","","","","0","","","Private","","",""
"Abu Dhabi National Oil Company (Adnoc)","123156938","Po Box 898","Abu Dhabi","6020000","","","","","","","","","","","","","","","","","","",""
"Kawader Services","121396064","Najda St 11th Fl - Abu Dhabi Islamic Bank Bldg","Abu Dhabi","971-26100900","http://www.kawader.ae","","1000","","","Abu Dhabi Islamic Bank PJSC","United Arab Emirates","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","5","","Abu Dhabi Islamic Bank PJSC","Private","","",""
"Khalidiyah Intersystems Company -L L C","121851757","Po Box 46554","Abu Dhabi","26665337","","","1000","","","","","Timber Wholesaling","","","","","0","","","Private","","",""
"Electrolux Maintenance & Commercial Services Ltd","122048050","Tourist Club Area","Abu Dhabi","6764200","","","1000","","","","","Other Machinery and Equipment Repair and Maintenance","","","","","0","","","Private","","",""
"Technip Abu Dhabi","121662729","31-29 st muroor road holiday day inn","Abu Dhabi","971-26116000","","","1000","","","Technip","France","Engineering Design and Engineering Consulting Services","","","","","129","","Technip","Private","","",""
"Abu Dhabi Investment Authority","102157216","PO Box 3600","Abu Dhabi","971-2-4150000","http://www.adia.ae","618000000","1000","","1976","","","Financial Asset Investing","","","","","7","2009-12-31T05:00:00Z","","Private","","618000000",""
"NMC Hearing Care Centre","124754331","Airport Road Corner Elektra","Abu Dhabi","971-26332255","","","1000","","","NMC Group","United Arab Emirates","Other Allied Health Services","","","","","22","","NMC Group","Private","","",""
"Oil & Gas Construction Llc","123058503","Po Box 53266","Abu Dhabi","25500300","","138000000","1000","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","2009-12-31T05:00:00Z","","Private","","37572460",""
"Abu Dhabi Authority For Culture And Heritage","123262646","Po Box 2380","Abu Dhabi","26215300","","","1000","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Beach Rotana Hotel and Towers","42385717","Po Box 45200","Abu Dhabi","971-02 6979071","http://www.rotana.com","","1000","","","","","Accommodation","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Al Taif Technical Services PJSC","111192695","Dusit Thani Complex Offices Tower","Abu Dhabi","971-2-4185500","http://www.altaif.ae","","1000","","2006","The Offset Program Bureau","United Arab Emirates","Other Machinery and Equipment Repair and Maintenance","","","","","21","","Mubadala Development Company PJSC","Private","","",""
"Smith International Inc.,","122967251","Po Box 47080","Abu Dhabi","25553700","","","1000","","","Schlumberger N.V.","Netherlands Antilles","Agricultural and Construction Machinery Wholesaling","","","","","687","","Schlumberger","Private","","",""
